Category,Precision,Recall,F1-Score,Support
Suitcases,1.0,0.9891304347826086,0.994535519125683,92.0
Vacuum Cleaners & Floor Care,0.9895287958115183,0.9973614775725593,0.9934296977660972,379.0
Boys' Watches,0.98,1.0,0.98989898989899,49.0
Headphones & Earbuds,0.9927797833935018,0.9821428571428571,0.9874326750448832,840.0
Televisions & Video Products,0.9743954480796586,0.9913169319826338,0.982783357245337,691.0
Men's Shoes,0.9768518518518519,0.9877121123464014,0.982251963922025,1709.0
Additive Manufacturing Products,0.9950248756218906,0.9569377990430622,0.975609756097561,209.0
Men's Accessories,0.9762752075919335,0.9739644970414201,0.9751184834123222,845.0
Men's Clothing,0.9621559633027523,0.9830111306385472,0.9724717473196176,1707.0
Girls' Clothing,0.9641434262948207,0.9625,0.9633210122263294,1760.0
"PlayStation 4 Games, Consoles & Accessories",0.9606557377049181,0.9466882067851373,0.9536208299430431,619.0
"PlayStation Vita Games, Consoles & Accessories",0.9642857142857143,0.9152542372881356,0.9391304347826087,59.0
"Xbox 360 Games, Consoles & Accessories",0.9436201780415431,0.9271137026239067,0.9352941176470587,343.0
"Wii U Games, Consoles & Accessories",0.9655172413793104,0.865979381443299,0.9130434782608695,97.0
Boys' Clothing,0.9293103448275862,0.8968386023294509,0.9127857747671465,601.0
